"timestamp","customer-transaction-count"
2018-02-09 00:30:00,0
2018-02-09 01:30:00,0
2018-02-09 02:30:00,0
2018-02-09 03:30:00,0
2018-02-09 04:30:00,0
2018-02-09 05:30:00,0
2018-02-09 06:30:00,2
2018-02-09 07:30:00,78
2018-02-09 08:30:00,153
2018-02-09 09:30:00,191
2018-02-09 10:30:00,258
2018-02-09 11:30:00,316
2018-02-09 12:30:00,364
2018-02-09 13:30:00,308
2018-02-09 14:30:00,299
2018-02-09 15:30:00,310
2018-02-09 16:30:00,335
2018-02-09 17:30:00,265
2018-02-09 18:30:00,336
2018-02-09 19:30:00,241
2018-02-09 20:30:00,226
2018-02-09 21:30:00,192
2018-02-09 22:30:00,9
2018-02-09 23:30:00,0
2018-02-10 00:30:00,0
2018-02-10 01:30:00,0
2018-02-10 02:30:00,0
2018-02-10 03:30:00,0
2018-02-10 04:30:00,0
2018-02-10 05:30:00,0
2018-02-10 06:30:00,2
2018-02-10 07:30:00,117
2018-02-10 08:30:00,189
2018-02-10 09:30:00,282
2018-02-10 10:30:00,366
2018-02-10 11:30:00,463
2018-02-10 12:30:00,398
2018-02-10 13:30:00,399
2018-02-10 14:30:00,376
2018-02-10 15:30:00,303
2018-02-10 16:30:00,290
2018-02-10 17:30:00,313
2018-02-10 18:30:00,277
2018-02-10 19:30:00,255
2018-02-10 20:30:00,186
2018-02-10 21:30:00,149
2018-02-10 22:30:00,10
2018-02-10 23:30:00,0
2018-02-11 00:30:00,0
2018-02-11 01:30:00,0
2018-02-11 02:30:00,0
2018-02-11 03:30:00,0
2018-02-11 04:30:00,0
2018-02-11 05:30:00,0
2018-02-11 06:30:00,0
2018-02-11 07:30:00,6
2018-02-11 08:30:00,75
2018-02-11 09:30:00,129
2018-02-11 10:30:00,192
2018-02-11 11:30:00,220
2018-02-11 12:30:00,314
2018-02-11 13:30:00,277
2018-02-11 14:30:00,310
2018-02-11 15:30:00,264
2018-02-11 16:30:00,233
2018-02-11 17:30:00,242
2018-02-11 18:30:00,215
2018-02-11 19:30:00,220
2018-02-11 20:30:00,199
2018-02-11 21:30:00,143
2018-02-11 22:30:00,4
2018-02-11 23:30:00,0
2018-02-12 00:30:00,0
2018-02-12 01:30:00,0
2018-02-12 02:30:00,0
2018-02-12 03:30:00,0
2018-02-12 04:30:00,0
2018-02-12 05:30:00,0
2018-02-12 06:30:00,1
2018-02-12 07:30:00,69
2018-02-12 08:30:00,127
2018-02-12 09:30:00,184
2018-02-12 10:30:00,245
2018-02-12 11:30:00,261
2018-02-12 12:30:00,255
2018-02-12 13:30:00,274
2018-02-12 14:30:00,246
2018-02-12 15:30:00,221
2018-02-12 16:30:00,252
2018-02-12 17:30:00,291
2018-02-12 18:30:00,285
2018-02-12 19:30:00,212
2018-02-12 20:30:00,197
2018-02-12 21:30:00,173
2018-02-12 22:30:00,9
2018-02-12 23:30:00,0
2018-02-13 00:30:00,0
2018-02-13 01:30:00,0
2018-02-13 02:30:00,0
