"timestamp","customer-transaction-count","NA"
2018-02-04 11:13:32,163.645836462401,1
2018-02-04 12:00:00,282,1
2018-02-04 12:15:27,331,1
2018-02-04 13:00:00,348,1
2018-02-04 13:39:49,390.268557536987,1
2018-02-04 14:00:00,359.5,1
2018-02-04 14:53:39,354,1
2018-02-04 15:00:00,307.5,1
2018-02-04 15:46:23,195.178271064944,1
2018-02-04 16:00:00,263,1
2018-02-04 16:53:50,265,1
2018-02-04 17:00:00,282.5,1
2018-02-04 17:25:35,346.097722286464,1
2018-02-04 18:00:00,272.5,1
2018-02-04 18:21:37,245,1
2018-02-04 19:00:00,229.5,1
2018-02-04 19:26:10,214,1
2018-02-04 20:00:00,202,1
2018-02-04 20:47:22,190,1
2018-02-04 21:00:00,145,1
2018-02-04 21:30:48,100,1
2018-02-04 22:00:00,52.5,1
2018-02-04 22:05:42,5,1
2018-02-04 23:00:00,0,1
2018-02-04 23:00:00,0,1
2018-02-05 00:00:00,0,1
2018-02-05 00:00:00,0,1
2018-02-05 01:00:00,0,1
2018-02-05 01:00:00,0,1
2018-02-05 02:00:00,0,1
2018-02-05 02:00:00,0,1
2018-02-05 03:00:00,0,1
2018-02-05 03:00:00,0,1
2018-02-05 04:00:00,0,1
2018-02-05 04:00:00,0,1
2018-02-05 05:00:00,0,1
2018-02-05 05:00:00,0,1
2018-02-05 06:00:00,0,1
2018-02-05 06:51:05,13,1
2018-02-05 07:00:00,87.5,1
2018-02-05 07:16:48,162,1
2018-02-05 08:00:00,191,1
2018-02-05 08:33:01,220,1
2018-02-05 09:00:00,255.5,1
2018-02-05 09:31:47,291,1
2018-02-05 10:00:00,331,1
2018-02-05 10:03:31,371,1
2018-02-05 11:00:00,373.5,1
2018-02-05 11:52:06,376,1
2018-02-05 12:00:00,392.5,1
2018-02-05 12:27:22,447.327535793474,1
2018-02-05 13:00:00,387.5,1
2018-02-05 13:18:23,366,1
2018-02-05 14:00:00,356.5,1
2018-02-05 14:34:05,347,1
2018-02-05 15:00:00,334.5,1
2018-02-05 15:32:43,299.796396688825,1
2018-02-05 16:00:00,331.5,1
2018-02-05 16:35:13,341,1
2018-02-05 17:00:00,354.5,1
2018-02-05 17:32:58,391.759208741033,1
2018-02-05 18:00:00,358,1
2018-02-05 18:45:52,348,1
2018-02-05 19:00:00,315.5,1
2018-02-05 19:35:00,283,1
2018-02-05 20:00:00,237.5,1
2018-02-05 20:13:43,192,1
2018-02-05 21:00:00,178.5,1
2018-02-05 21:51:17,165,1
2018-02-05 22:00:00,85.5,1
2018-02-05 22:04:12,6,1
2018-02-05 23:00:00,0,1
2018-02-05 23:00:00,0,1
2018-02-06 00:00:00,0,1
2018-02-06 00:00:00,0,1
2018-02-06 01:00:00,0,1
2018-02-06 01:00:00,0,1
2018-02-06 02:00:00,0,1
2018-02-06 02:00:00,0,1
2018-02-06 03:00:00,0,1
2018-02-06 03:00:00,0,1
2018-02-06 04:00:00,0,1
2018-02-06 04:00:00,0,1
2018-02-06 05:00:00,0,1
2018-02-06 05:00:00,0,1
2018-02-06 06:00:00,0,1
2018-02-06 06:46:09,15,1
2018-02-06 07:00:00,65,1
2018-02-06 07:22:30,115,1
2018-02-06 08:00:00,145,1
2018-02-06 08:25:42,175,1
2018-02-06 09:00:00,197.5,1
2018-02-06 09:36:18,220,1
2018-02-06 10:00:00,254.5,1
2018-02-06 10:33:27,289,1
2018-02-06 11:00:00,332.5,1
2018-02-06 11:21:02,376,1
2018-02-06 12:00:00,399.5,1
2018-02-06 12:25:49,483.79884867331,1
2018-02-06 13:00:00,387,1
2018-02-06 13:12:31,351,1
2018-02-06 14:00:00,341.5,1
2018-02-06 14:10:26,332,1
2018-02-06 15:00:00,330,1
2018-02-06 15:15:55,306.599065440967,1
2018-02-06 16:00:00,343,1
2018-02-06 16:28:25,358,1
2018-02-06 17:00:00,371.5,1
2018-02-06 17:27:42,415.700162866017,1
2018-02-06 18:00:00,368,1
2018-02-06 18:32:03,351,1
2018-02-06 19:00:00,331.5,1
2018-02-06 19:45:49,312,1
